Package,Backstage role,Description
@backstage/plugin-scaffolder-backend-module-gcp,backend-plugin-module,The GCP Bucket module for @backstage/plugin-scaffolder-backend
@backstage/plugin-scaffolder-backend-module-gerrit,backend-plugin-module,The gerrit module for @backstage/plugin-scaffolder-backend
@backstage/plugin-scaffolder-backend-module-gitea,backend-plugin-module,The gitea module for @backstage/plugin-scaffolder-backend
@backstage/plugin-scaffolder-backend-module-github,backend-plugin-module,The github module for @backstage/plugin-scaffolder-backend
@backstage/plugin-scaffolder-backend-module-gitlab,backend-plugin-module,
@backstage/plugin-scaffolder-backend-module-notifications,backend-plugin-module,The notifications backend module for the scaffolder plugin.
@backstage/plugin-scaffolder-backend-module-rails,backend-plugin-module,A module for the scaffolder backend that lets you template projects using Rails
@backstage/plugin-scaffolder-backend-module-sentry,backend-plugin-module,
@backstage/plugin-scaffolder-backend-module-yeoman,backend-plugin-module,
@backstage/plugin-scaffolder-common,common-library,"Common functionalities for the scaffolder, to be shared between scaffolder and scaffolder-backend plugin"
@backstage/plugin-scaffolder-node,node-library,The plugin-scaffolder-node module for @backstage/plugin-scaffolder-backend
@backstage/plugin-scaffolder-node-test-utils,node-library,
@backstage/plugin-scaffolder-react,web-library,A frontend library that helps other Backstage plugins interact with the Scaffolder
@backstage/plugin-search,frontend-plugin,The Backstage plugin that provides your backstage app with search
@backstage/plugin-search-backend,backend-plugin,The Backstage backend plugin that provides your backstage app with search
@backstage/plugin-search-backend-module-catalog,backend-plugin-module,A module for the search backend that exports catalog modules
@backstage/plugin-search-backend-module-elasticsearch,backend-plugin-module,A module for the search backend that implements search using ElasticSearch
@backstage/plugin-search-backend-module-explore,backend-plugin-module,A module for the search backend that exports explore modules
@backstage/plugin-search-backend-module-pg,backend-plugin-module,A module for the search backend that implements search using PostgreSQL
@backstage/plugin-search-backend-module-stack-overflow-collator,backend-plugin-module,A module for the search backend that exports stack overflow modules
@backstage/plugin-search-backend-module-techdocs,backend-plugin-module,A module for the search backend that exports techdocs modules
@backstage/plugin-search-backend-node,node-library,A library for Backstage backend plugins that want to interact with the search backend plugin
@backstage/plugin-search-common,common-library,"Common functionalities for Search, to be shared between various search-enabled plugins"
@backstage/plugin-search-react,web-library,
@backstage/plugin-signals,frontend-plugin,
@backstage/plugin-signals-backend,backend-plugin,
@backstage/plugin-signals-node,node-library,Node.js library for the signals plugin
@backstage/plugin-signals-react,web-library,Web library for the signals plugin
@backstage/plugin-techdocs,frontend-plugin,The Backstage plugin that renders technical documentation for your components
@backstage/plugin-techdocs-addons-test-utils,web-library,
@backstage/plugin-techdocs-backend,backend-plugin,The Backstage backend plugin that renders technical documentation for your components
@backstage/plugin-techdocs-common,common-library,Common functionality for TechDocs
@backstage/plugin-techdocs-module-addons-contrib,frontend-plugin-module,Plugin module for contributed TechDocs Addons
@backstage/plugin-techdocs-node,node-library,"Common node.js functionalities for TechDocs, to be shared between techdocs-backend plugin and techdocs-cli"
@backstage/plugin-techdocs-react,web-library,Shared frontend utilities for TechDocs and Addons
@backstage/plugin-user-settings,frontend-plugin,A Backstage plugin that provides a settings page
@backstage/plugin-user-settings-backend,backend-plugin,The Backstage backend plugin to manage user settings
@backstage/plugin-user-settings-common,common-library,Common functionalities for the user-settings plugin
@backstage/release-manifests,common-library,Helper library for receiving release manifests
@backstage/repo-tools,cli,CLI for Backstage repo tooling
@backstage/test-utils,web-library,Utilities to test Backstage plugins and apps.
@backstage/theme,web-library,material-ui theme for use with Backstage.
@backstage/types,common-library,Common TypeScript types used within Backstage
@backstage/ui,web-library,
@backstage/version-bridge,web-library,Utilities used by @backstage packages to support multiple concurrent versions
@techdocs/cli,cli,Utility CLI for managing TechDocs sites in Backstage.
